00,7
10,12
20,13
30,12
40,13
50,12
60,13
70,12
80,13
90,12
100,13
110,13
120,12
130,12
140,13
150,12
160,13
170,12
180,13
190,13
200,12
210,12
220,13
230,12
240,12
250,13
260,13
270,13
280,12
290,13
300,12
310,13
320,12
330,12
340,12
350,12
360,13
370,12
380,13
390,22
400,23
410,23
420,23
430,23
440,22
450,22
460,22
470,19
480,15
490,16
500,15
510,15
520,14
530,15
540,15
550,14
560,14
570,14
580,13
590,14
600,14
610,14
620,13
630,13
640,13
650,14
660,13
670,12
680,13
690,13
700,13
710,13
720,14
730,14
740,14
750,15
760,9
770,16
780,18
790,17
800,17
810,18
820,17
830,18
840,18
850,17
860,18
870,19
880,18
890,18
900,18
910,18
920,18
930,18
940,20
950,20
960,19
970,19
980,20
990,16
1000,12
1010,13
1020,12
1030,12
1040,12
1050,12
1060,12
1070,12
1080,12
1090,12
1100,13
1110,12
1120,12
1130,13
1140,13
1150,13
1160,12
1170,13
1180,13
1190,12
1200,14
1210,13
1220,13
1230,14
1240,13
1250,13
1260,13
1270,13
1280,13
1290,12
1300,13
1310,13
1320,13
1330,12
1340,13
1350,13
1360,13
1370,13
1380,13
1390,12
1400,12
1410,13
1420,13
1430,13
1440,13
1450,13
1460,13
1470,13
1480,14
1490,13
1500,13
1510,14
1520,4
1530,2
1540,19
1550,20
1560,20
1570,19
1580,19
1590,19
1600,19
1610,18
1620,18
1630,18
1640,17
1650,18
1660,18
1670,17
1680,18
1690,18
1700,17
1710,18
1720,18
1730,17
1740,18
1750,18
1760,17
1770,17
1780,18
1790,17
1800,18
1810,17
1820,17
1830,18
1840,17
1850,18
1860,17
1870,17
1880,17
1890,17
1900,17
1910,17
1920,17
1930,17
1940,17
1950,17
1960,17
1970,17
1980,18
1990,17
2000,17
2010,18
2020,17
2030,18
2040,17
2050,18
2060,17
2070,3
2080,1
2090,13
2100,24
2110,24
2120,24
2130,23
2140,24
2150,23
2160,24
2170,12
